time,threads,image_name,algorithm,speedup
0.021286,1,./image1_4k.jpg,Nearest,1
0.015802,2,./image1_4k.jpg,Nearest,1.250869384
0.026596,4,./image1_4k.jpg,Nearest,1.391274078
0.015649,8,./image1_4k.jpg,Nearest,1.360130076
0.013346,16,./image1_4k.jpg,Nearest,1.466846097
0.020416,1,./image2_1080p.jpg,Nearest,1
0.016887,2,./image2_1080p.jpg,Nearest,1.285962133
0.015452,4,./image2_1080p.jpg,Nearest,1.350978683
0.017471,8,./image2_1080p.jpg,Nearest,1.270532121
0.014666,16,./image2_1080p.jpg,Nearest,1.248023426
0.019031,1,./image3_720p.jpg,Nearest,1
0.013765,2,./image3_720p.jpg,Nearest,1.261361101
0.013163,4,./image3_720p.jpg,Nearest,1.570277778
0.014557,8,./image3_720p.jpg,Nearest,1.383166137
0.013818,16,./image3_720p.jpg,Nearest,1.67827808
0.04465,1,./image1_4k.jpg,Bilinear,1
0.033037,2,./image1_4k.jpg,Bilinear,1.607184291
0.02243,4,./image1_4k.jpg,Bilinear,2.021619284
0.024421,8,./image1_4k.jpg,Bilinear,2.096519253
0.02183,16,./image1_4k.jpg,Bilinear,2.116688359
0.043682,1,./image2_1080p.jpg,Bilinear,1
0.028307,2,./image2_1080p.jpg,Bilinear,1.524664822
0.027115,4,./image2_1080p.jpg,Bilinear,1.902591884
0.024987,8,./image2_1080p.jpg,Bilinear,1.98229207
0.025643,16,./image2_1080p.jpg,Bilinear,2.04241975
0.040498,1,./image3_720p.jpg,Bilinear,1
0.028866,2,./image3_720p.jpg,Bilinear,1.455776684
0.02196,4,./image3_720p.jpg,Bilinear,1.853665299
0.021228,8,./image3_720p.jpg,Bilinear,1.885023119
0.018245,16,./image3_720p.jpg,Bilinear,2.188907805
