Time, tasks, image, algorithm
0.032177, 1, image1_4k.jpg, Bilinear
0.024343, 2, image1_4k.jpg, Bilinear
0.028357, 4, image1_4k.jpg, Bilinear
0.025890, 8, image1_4k.jpg, Bilinear
0.014385, 1, image1_1080p.jpg, Bilinear
0.013941, 2, image1_1080p.jpg, Bilinear
0.013876, 4, image1_1080p.jpg, Bilinear
0.013103, 8, image1_1080p.jpg, Bilinear
0.008326, 1, image3_720p.jpg, Bilinear
0.008419, 2, image3_720p.jpg, Bilinear
0.008414, 4, image3_720p.jpg, Bilinear
0.009233, 8, image3_720p.jpg, Bilinear
0.021606, 1, image1_4k.jpg, Nearest
0.021347, 2, image1_4k.jpg, Nearest
0.020378, 4, image1_4k.jpg, Nearest
0.022923, 8, image1_4k.jpg, Nearest
0.009654, 1, image1_1080p.jpg, Nearest
0.008537, 2, image1_1080p.jpg, Nearest
0.010479, 4, image1_1080p.jpg, Nearest
0.009747, 8, image1_1080p.jpg, Nearest
0.004389, 1, image3_720p.jpg, Nearest
0.004179, 2, image3_720p.jpg, Nearest
0.004250, 4, image3_720p.jpg, Nearest
0.004170, 8, image3_720p.jpg, Nearest
